index,name,nameEng,description,image,type
011,콜드 브루 오트 라떼,Cold Brew with Oat Milk,"콜드 브루의 풍미와 깔끔한 오트 밀크가 어우러진 달콤 고소한 라떼.
식물성 밀크를 사용해 모든 고객이 부담없이 즐길 수 있는 콜드 브루 음료",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000003285%5D_20210416154437226.jpg,ICED
012,돌체 콜드 브루,Dolce Cold Brew,"무더운 여름철,
동남아 휴가지에서 즐기는 커피를 떠오르게 하는
스타벅스 음료의 베스트 x 베스트 조합인
돌체 콜드 브루를 만나보세요!",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002081%5D_20210415133657016.jpg,ICED
013,바닐라 크림 콜드 브루,Vanilla Cream Cold Brew,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000000487%5D_20210430112319174.jpg,ICED
014,콜드 브루,Cold Brew,"스타벅스 바리스타의 정성으로 탄생한 콜드 브루!
콜드 브루 전용 원두를 차가운 물로 14시간 동안 추출하여 한정된 양만 제공됩니다.
깊은 풍미의 새로운 커피 경험을 즐겨보세요.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000000038%5D_20210430113202595.jpg,ICED
015,나이트로 바닐라 크림,Nitro Vanilla Cream,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002487%5D_20210426091745609.jpg,ICED
016,나이트로 콜드 브루,Nitro Cold Brew,"나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!
부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000000479%5D_20210426091844065.jpg,ICED
017,제주 비자림 콜드 브루,Jeju Forest Cold Brew,제주 천년의 숲 비자림을 연상시키는 음료로 제주 유기농 말차와 콜드 브루가 조화로운 제주 특화 콜드 브루 음료,https://image.istarbucks.co.kr/upload/store/skuimg/2022/03/%5B9200000002672%5D_20220311105512013.jpg,ICED
018,에스프레소,Espresso,"스타벅스 에스프레소는 향기로운 크레마 층과 바디 층, 하트 층으로 이루어져 있으며, 입안 가득히 커피와 달콤한 카라멜 향이 느껴지는 커피 음료",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B20%5D_20210415144112850.jpg,HOT
019,블랙 글레이즈드 라떼,Black Glazed Latte,"스타벅스의 가을 대표 음료!
진한 커피와 매력적인 글레이즈드 크림,
치즈 풍미의 스타벅스 아인슈페너 음료",https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/%5B9200000002259%5D_20221007082850170.jpg,HOT
020,아이스 블랙 글레이즈드 라떼,Iced Black Glazed Latte,"스타벅스의 가을 대표 음료!
진한 커피와 매력적인 글레이즈드 크림,
치즈 풍미의 스타벅스 아인슈페너 음료",https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/%5B9200000002262%5D_20221007082936565.jpg,ICED
021,바닐라 플랫 화이트,Vanilla Flat White,바닐라 플랫 화이트는 진하고 고소한 리스트레토 샷과 바닐라 시럽 그리고 스팀 밀크로 즐기는 진한 커피 라떼 입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002406%5D_20210415135507881.jpg,HOT
022,스타벅스 돌체 라떼,Starbucks Dolce Latte,스타벅스의 다른 커피 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B128692%5D_20210426091933798.jpg,HOT
023,아이스 스타벅스 돌체 라떼,Iced Starbucks Dolce Latte,스타벅스의 다른 커피 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B128695%5D_20210426092032110.jpg,ICED
024,카페 모카,Caffe Mocha,진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B46%5D_20210415134438311.jpg,HOT
025,아이스 카페 모카,Iced Caffe Mocha,진한 초콜릿 모카 시럽과 풍부한 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B110566%5D_20210415134334432.jpg,ICED
026,카푸치노,Cappuccino,풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B38%5D_20210415154821991.jpg,HOT
027,아이스 카푸치노,Iced Cappuccino,풍부하고 진한 에스프레소에 신선한 우유와 우유 거품이 얼음과 함께 들어간 시원하고 부드러운 커피 음료,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B110601%5D_20210415143400922.jpg,ICED
028,카라멜 마키아또,Caramel Macchiato,향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B126197%5D_20210415154610012.jpg,HOT
029,아이스 카라멜 마키아또,Iced Caramel Macchiato,향긋한 바닐라 시럽과 시원한 우유와 얼음을 넣고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B110582%5D_20210415142706229.jpg,ICED
030,화이트 초콜릿 모카,White Chocolate Mocha,달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B128192%5D_20210415155639276.jpg,HOT
031,아이스 화이트 초콜릿 모카,Iced White Chocolate Mocha,달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B110572%5D_20210415155545520.jpg,ICED
032,에스프레소 마키아또,Espresso Macchiato,"신선한 에스프레소 샷에 우유 거품을 살짝 얹은 커피 음료로써, 강렬한 에스프레소의 맛과 우유의 부드러움을 같이 즐길 수 있는 커피 음료",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B25%5D_20210415144211354.jpg,HOT
033,에스프레소 콘 파나,Espresso Con Panna,"신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B30%5D_20210415144252425.jpg,HOT
034,제주 사려니 쑥길 라떼,Jeju Forest Mugwort Latte,"화산송이가 덮혀진 검붉은 토양과 숲이 어우러진 제주 사려니 숲길을 표현한 음료
국내산 쑥과 오트 밀크를 이용하여 제주에서만 특별히 즐기는 아인슈페너 타입의 쑥&커피 음료",https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/%5B9200000004291%5D_20220906081405267.jpg,HOT
035,아이스 제주 사려니 쑥길 라떼,Iced Jeju Forest Mugwort Latte,"화산송이가 덮혀진 검붉은 토양과 숲이 어우러진 제주 사려니 숲길을 표현한 음료
국내산 쑥과 오트 밀크를 이용하여 제주에서만 특별히 즐기는 아인슈페너 타입의 쑥&커피 음료",https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/%5B9200000004292%5D_20220906081526941.jpg,ICED
036,더블 에스프레소 칩 프라푸치노,Double Espresso Chip Frappuccino,"리스트레토 에스프레소 2샷과 에스프레소 칩, 하프앤하프가 진하게 어우러진 커피의 기본에 충실한 프라푸치노",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002760%5D_20210415133558221.jpg,ICED
037,제주 유기농 말차로 만든 크림 프라푸치노,Malcha Cream Frappuccino from Jeju Organic Farm,깊고 진한 말차 본연의 맛과 향을 시원하고 부드럽게 즐길 수 있는 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000002502%5D_20210426100408183.jpg,ICED
038,초콜릿 크림 칩 프라푸치노,Chocolate Cream Chip Frappuccino,"모카 소스와 진한 초콜릿 칩, 초콜릿 드리즐이 올라간 달콤한 크림 프라푸치노",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B168066%5D_20210415154429903.jpg,ICED
039,화이트 초콜릿 모카 프라푸치노,White Chocolate Mocha Frappuccino,"화이트 초콜릿, 커피와 우유가 조화로운 프라푸치노",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B168013%5D_20210415155746535.jpg,ICED
040,딸기 딜라이트 요거트 블렌디드,Strawberry Delight Yogurt Blended,"유산균이 살아있는 리얼 요거트와 풍성한 딸기 과육이
더욱 상큼하게 어우러진 과일 요거트 블렌디드",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9200000003276%5D_20210416154001576.jpg,ICED
041,망고 바나나 블렌디드,Mango Banana Blended,(Grande Only) 인기 음료인 망고 패션후르츠 블렌디드에 신선한 바나나 1개가 통째로 들어간 달콤한 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B169001%5D_20210419130701935.jpg,ICED
042,망고 패션 프루트 블렌디드,Mango Passion Fruit Blended,망고 패션 프루트 주스와 블랙 티가 깔끔하게 어우러진 과일 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B167004%5D_20210419130801762.jpg,ICED
043,너티 크루아상,Nutty Croissant,달콤하고 고소한 견과류가 토핑된 발효버터 풍미의 바삭하고 촉촉한 식감의 정통 크루아상입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/%5B9300000004372%5D_20221017124116750.jpg,
044,소시지&올리브 미니 파이,Sausage&Olive Mini Pie,통통한 미니 소시지와 그린 올리브를 패스츄리에 토핑하여 골라 먹는 재미를 더한 미니 파이로 세이보리하고 고소한 풍미가 매력적인 스낵 브레드입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/08/%5B9300000004025%5D_20220823105424477.jpg,
045,바질 토마토 크림치즈 베이글,Basil Tomato Cream Cheese Bagel,"바질, 썬드라이 토마토, 크림치즈의 조합이 이색적인 베이글로 크림치즈가 듬뿍 샌드되어 든든하게 즐길 수 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/%5B9300000003223%5D_20210315170846227.jpg,
046,리얼 블루베리 베이글,Blueberry Bagel,"블루베리의 상큼한 풍미가 매력적인 베이글로 국내산 감자, 보리가루를 넣어 더욱 촉촉하고 건강하게 만들었습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/%5B9300000003334%5D_20210310092057568.jpg,
047,미니 클래식 스콘,Mini Classic Scone,미니 사이즈의 담백한 스콘입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B5110001099%5D_20210421161145813.jpg,
048,딸기 담은 마스카포네 케이크,Strawberry Mascarpone Cake,신선한 생딸기와 진한 마스카포네 치즈 크림의 조화가 어우러지는 새콤 달콤한 떠먹는 케이크입니다.나만의 푸드로 등록,https://image.istarbucks.co.kr/upload/store/skuimg/2023/01/%5B9300000004374%5D_20230102083416211.jpg,
049,부드러운 고구마 생크림 케이크,Sweet Potato Cream Cake,부드러운 고구마 무스와 조각 형태의 고구마를 화이트 케이크 시트 사이에 듬뿍 넣고 생크림을 올린 달콤하고 고소한 케이크입니다,https://image.istarbucks.co.kr/upload/store/skuimg/2023/01/%5B9300000004376%5D_20230102083137702.jpg,
050,슈크림 가득 바움쿠헨,Choux Cream Baumkuchen,바닐라 빈이 들어간 부드러운 슈크림과 바움쿠헨이 조화로운 바닐라 풍미의 케이크입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2023/01/%5B9300000002448%5D_20230102083308920.jpg,
051,부드러운 생크림 카스텔라,Fresh Cream Castella,부드러운 생크림이 듬뿍 들어있는 촉촉한 카스텔라입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B5110007181%5D_20210421164728664.jpg,
052,루벤 샌드위치,Reuben Sandwich,곡물 사워도우 브레드 사이에 파스트라미와 적양배추로 만든 사우어 크라우트가 들어간 샌드위치입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/09/%5B9300000004241%5D_20220902130742519.jpg,
053,에그에그 샌드위치,Egg Egg Sandwich,화이트 식빵 사이에 고소한 에그 스프레드를 넣은 부드러운 샌드위치입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9300000001927%5D_20210422101307270.jpg,
054,베이컨 치즈 토스트,Bacon Cheese Toast,"계란과 우유를 적신 빵에 베이컨과 치즈, 에그 스프레드를 넣어 구운 프렌치 토스트 타입 샌드위치입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/06/%5B9300000002178%5D_20210602104935868.jpg,
055,토마토 로제 수프,Tomato Rose Soup,"새콤한 토마토와 고소한 크림이 조화를 이루어 부드러운 식감이 매력적인 식사 대용 수프입니다.
※ 수프 구매 시 통밀 토스트칩이 함께 제공됩니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/%5B9900000001201%5D_20220506095743435.jpg,
056,단호박 크림 수프,Sweet Pumpkin Soup,"단호박과 증숙 고구마가 들어가 진한 풍미와 씹히는 식감이 매력적인 식사 대용 수프입니다.
※ 수프 구매 시 통밀 토스트칩이 함께 제공됩니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9900000001200%5D_20220407090143497.jpg,
057,트러플 머쉬룸 수프,Truffle Mushroom Soup,"송로 버섯의 향과 양송이 버섯의 진한
풍미가 조화로운 식사 대용 수프입니다.
※ 수프 구매 시 통밀 토스트칩이 함께 제공됩니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9900000000680%5D_20210426103936915.jpg,
058,오가닉 그릭 요거트 플레인,Organic Greek Yogurt Plain,강원 청정 농장의 유기농 우유와 유산균으로 만든 정통 그릭 방식의 플레인 요거트 입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/08/%5B9300000003231%5D_20210826102030821.jpg,
059,New 밀크 푸딩,New Milk Pudding,"신선한 우유와 국내산 달걀을 넣어 만든
부드럽고 달콤한 밀크 푸딩입니다.
냉장보관이 필요한 상품입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9300000002619%5D_20210421161937347.jpg,
060,New 초콜릿 푸딩,New Chocolate Pudding,"벨기에 초콜릿과 국내산 달걀,
신선한 우유로 만든 진한 초콜릿 푸딩입니다.
냉장보관이 필요한 상품입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9300000002620%5D_20210422124125754.jpg,
061,오가닉 프로틴 그릭 요거트 & 그래놀라,Organic Protein Greek Yogurt & Granola,"유기농 원유와 유기농 우유 유래 프로틴으로 크림치즈같은 깊은 맛과 풍미를 구현,
유기농 그래놀라로 구성된 가볍고 든든한 간편 한끼 요거트로
요거트와 그래놀라 정량(120g) 모두 취식시 13g의 단백질을 섭취 할 수 있는
영양 강화 요거트 입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/08/%5B9300000003232%5D_20210826102225500.jpg,
062,크리스마스 베어리 쿠키 틴백,Christmas Beary Cookie Tin Bag,"귀여운 베어리스타 틴 케이스 안에 초콜릿 쿠키가 들어있어요.
(다크, 밀크 초콜릿 쿠키, 종류별 4ea, 총 8ea 동봉)",https://image.istarbucks.co.kr/upload/store/skuimg/2022/11/%5B9300000004427%5D_20221117154513151.jpg,
063,쥐눈이콩 오곡 크런치,Black Soy Bean & Five Grain Crunch,국내산 쥐눈이콩과 오곡을 맛있게 볶아 오븐에 한 번 더 구운 크런치입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/02/%5B9300000003986%5D_20220216110003334.jpg,
064,로고 코인 다크 초콜릿 (골드),Logo Coin Dark Chocolate (Gold),"골드 틴 케이스에 들어있는 사이렌 로고 모양의 다크 초콜릿입니다.
카카오 함량은 73%, 카페인은 0.05g 포함되어 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B5650003321%5D_20210421154421904.jpg,
065,로고 코인 밀크 초콜릿 (실버),Logo Coin Milk Chocolate (Silver),"실버 틴 케이스에 들어있는 사이렌 로고 모양의 밀크 초콜릿입니다.카카오 함량은 30%, 카페인은 0.02g 포함되어 있습니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B5650003322%5D_20210421154642682.jpg,
066,유기농 아이스크림 바닐라,Organic Ice Cream Vanilla,부드럽고 깔끔한 맛의 유기농 아이스크림을 즐기세요.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B5110009050%5D_20210422110047154.jpg,
067,유기농 아이스크림 초콜릿,Organic Ice Cream Chocolate,부드럽고 깔끔한 맛의 유기농 아이스크림을 즐기세요.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9300000000810%5D_20210422110152513.jpg,
068,자바 칩 유기농 아이스크림 바닐라,Organic Ice Cream Vanilla topped with Java Chip,유기농 아이스크림에 달콤한 자바 칩(초콜릿 칩)을 토핑하였습니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9900000000034%5D_20210422110942487.jpg,
069,자바 칩 유기농 아이스크림 초콜릿,Organic Ice Cream Chocolate topped with Java Chip,유기농 아이스크림에 달콤한 자바 칩(초콜릿 칩)을 토핑하였습니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B9900000000171%5D_20210422111036393.jpg,
070,워드마크 스퀘어 머그 237ml,Wordmark square mug 237ml,그린 컬러에 스타벅스 워드마크가 매치된 237ml 머그입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003834%5D_20220413143035673.jpg,
071,크림 사이렌 스퀘어 머그 355ml,Cream siren squre mug 355ml,크림 컬러에 사이렌 로고가 매치된 355ml 머그입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003835%5D_20220413143503825.jpg,
072,그린 사이렌 스퀘어 머그 473ml,Green siren squre mug 473ml,다크 그린 컬러에 사이렌 로고가 매치된 473ml 머그입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003836%5D_20220413131638240.jpg,
073,사이렌 글라스 콜드컵 503ml,Siren glass coldcup 503ml,실리콘 슬리브가 매치된 클래식한 디자인의 503ml의 글라스 콜드컵입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003600%5D_20220413140543424.jpg,
074,SS 뉴트럴 밸류 텀블러 473ml,SS Neutral value tumbler 473ml,심플한 디자인으로 보냉/보온 기능이 우수한 473ml의 스테인리스 스틸 텀블러입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003590%5D_20220413124748985.jpg,
075,SS 스탠리 그린 켄처 텀블러 591ml,SS Stanley green quencher coldcup 591ml,591ml 용량의 스테인리스 스틸 텀블러입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003837%5D_20220413125042272.jpg,
076,SS 스탠리 크림 켄처 텀블러 591ml,SS Stanley cream quencher coldcup 591ml,591ml 용량의 스테인리스 스틸 텀블러입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003838%5D_20220413125804261.jpg,
077,SS 엘마 블랙 텀블러 473ml,SS elma black tumbler 473ml,우아함과 기품이 느껴지는 블랙 그러데이션으로 계절과 성별에 구애받지 않고 사용할 수 있는 심플한 디자인의 그란데 사이즈 스테인리스 텀블러입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2020/09/%5B9300000002608%5D_20200918105602953.jpg,
078,골드 칼리도스코프 콜드컵 710ml,Gold calidoscope cold cup 710ml,반짝이는 컬러가 돋보이는 710ml 용량의 찬 음료 전용 플라스틱 텀블러입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003596%5D_20220413130152765.jpg,
079,버라이어티로고 리유저블컵 세트 473ml(3P),Variety logo reusable cup set 473ml (3p),473ml 용량의 리유저블 컵 3ea 세트 상품입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003597%5D_20220413131813526.jpg,
080,커피리프 슬리브 워터보틀 414ml,Coffee leaf sleeve waterbottle 414ml,"그린 컬러의 슬리브와 리드로 포인트를 주었으며, 독특한 쉐입이 돋보이는 414ml 용량의 찬 음료 전용 플라스틱 워터보틀입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/08/%5B11123349%5D_20210803100852770.jpg,
081,그린 워드마크 폼 콜드컵 473ml,Green wordmark foam cold cup 473ml,[2022 Core MD]스타벅스 워드마크가 돋보이는 473ml 용량의 찬 음료 전용 플라스틱 텀블러입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/01/%5B9300000003595%5D_20220112085736099.jpg,
082,JNX 그린 워드마크 보온병 500ml,JNX Green wordmark vacuum 500ml,클래식한 디자인의 500ml 보온병입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003593%5D_20220413124443742.jpg,
083,SS 블랙 앤 골드 스탠리 보온병 500ml,SS black&gold stanley thermos 500ml,우아함과 기품이 느껴지는 블랙과 골드 컬러의 조화로 계절과 성별에 구애받지 않고 사용할 수 있는 심플한 디자인의 500ml 스테인리스 보온병입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2020/09/%5B9300000002610%5D_20200918110021841.jpg,
084,사이렌 리사이클드 쇼퍼백,Siren recycled shopper bag,폴더블 쇼퍼백으로 파우치 형태로 압축 가능합니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003604%5D_20220413141039371.jpg,
085,스타벅스 리유저블 스트로 세트,Starbucks reusable straw set,"실리콘 스트로 3종과 세척솔, 린넨 파우치로 구성된 세트 상품입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2020/10/%5B9300000002615%5D_20201007140436517.jpg,
086,티바나 잉글리쉬 브렉퍼스트 12개입,Teavana English breakfast 12ea,인도와 한국의 홍차가 블렌딩 된 잉글리쉬 브렉퍼스트 티 입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B11120812%5D_20210415165337878.jpg,
087,티바나 얼 그레이 12개입,Teavana Earl grey 12ea,향기로운 천연 베르가못 오일과 그윽한 라벤더가 함유된 산뜻한 블렌딩 티입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B11120814%5D_20210415165244439.jpg,
088,티바나 민트 블렌드 12개입,Teavana Mint blend 12ea,스타벅스에서 새롭게 선보이는 티바나 민트 블렌드 티입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/%5B11120815%5D_20210415165152783.jpg,
089,티바나 히비스커스 12개입,TVNA HIBISCUS 12CT KR,"산뜻한 파파야와 망고에 레몬그라스를 넣은 천연 무 카페인 블렌딩 티로, 히비스커스 꽃을 넣어 약간의 산미와 풍미를 느낄 수 있는 상큼한 티입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/08/%5B11120816%5D_20210831161156862.jpg,
090,사이렌 고케틀,Siren go-kettle,머그와 결합하여 사용하는 실리콘소재의 케틀입니다.,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/%5B9300000003839%5D_20220413141839541.jpg,
091,화이트 사이렌 커피 클립 스쿱,White siren coffee clip scoop,"[2021 스타벅스 화이트 코어 브루잉 MD]
따뜻한 화이트 컬러 배색의 심플하면서도 고급스러운 커피 클립 스쿱으로 나만의 홈 카페를 완벽하게 꾸며줄 상품입니다.",https://image.istarbucks.co.kr/upload/store/skuimg/2021/01/%5B9300000003037%5D_20210113091500413.jpg,
